Year,PM10_AQI,PM2.5_AQI,Acceptable_PM2.5_AQI
1982,27,,
1983,14,,
1984,41,,
1985,10,,
1986,9,,
1987,16,,
1988,8,,
1989,21,,
1990,38,,
1991,32,,
1992,17,,
1993,30,,
1994,21,,
1995,35,,
1996,11,,
1997,35,,
1998,18,,
1999,23,75.0,
2000,12,54.0,50.0
2001,7,36.0,43.0
2002,9,52.0,54.0
2003,9,42.0,49.0
2004,10,51.0,39.0
2005,11,30.0,32.0
2006,5,58.0,61.0
2007,7,33.0,51.0
2008,7,29.0,35.0
2009,10,35.0,50.0
2010,6,15.0,49.0
2011,9,34.0,11.0
2012,10,52.0,49.0
2013,21,82.0,31.0
2014,9,23.0,42.0
2015,6,52.0,29.0
2016,5,55.0,55.0
2017,12,39.0,42.0
2018,9,60.0,59.0
2019,8,45.0,27.0
2020,19,61.0,28.0
2021,6,31.0,22.0
